mssg_size, time, time_rle,time_rot13,time_rle2,
309, 0.042, 0.061,0,0,
310, 0.058, 0.07,0.001,0.001,
311, 0.047, 0.056,0,0.001,
312, 0.048, 0.053,0.001,0,
313, 0.047, 0.056,0.001,0,
314, 0.05, 0.063,0.001,0,
315, 0.059, 0.054,0.001,0,
316, 0.045, 0.054,0.001,0,
317, 0.045, 0.055,0.001,0,
318, 0.052, 0.059,0.001,0,
319, 0.052, 0.059,0.001,0,
320, 0.043, 0.079,0.001,0.001,
321, 0.034, 0.053,0.001,0,
322, 0.036, 0.057,0.001,0,
323, 0.032, 0.065,0.001,0.001,
324, 0.034, 0.056,0,0.001,
325, 0.032, 0.054,0,0.001,
326, 0.036, 0.061,0,0.001,
327, 0.033, 0.058,0.002,0,
328, 0.036, 0.057,0.001,0,
329, 0.034, 0.062,0,0,
330, 0.035, 0.058,0.001,0,
331, 0.048, 0.073,0.001,0,
332, 0.031, 0.056,0.001,0,
333, 0.035, 0.057,0,0.001,
334, 0.036, 0.058,0.001,0,
335, 0.036, 0.058,0.002,0,
336, 0.034, 0.057,0.002,0,
337, 0.034, 0.058,0,0.001,
338, 0.036, 0.056,0.001,0,
339, 0.04, 0.065,0,0,
340, 0.034, 0.059,0.001,0,
341, 0.038, 0.063,0.001,0,
342, 0.045, 0.067,0,0.001,
343, 0.04, 0.069,0,0.001,
344, 0.046, 0.058,0.001,0,
345, 0.047, 0.059,0,0.001,
346, 0.042, 0.062,0,0.001,
347, 0.042, 0.064,0,0.001,
348, 0.06, 0.063,0.001,0,
349, 0.049, 0.072,0,0.001,
350, 0.051, 0.061,0.001,0,
351, 0.05, 0.083,0,0.001,
352, 0.049, 0.062,0,0.001,
353, 0.054, 0.061,0,0,
354, 0.057, 0.065,0.001,0,
355, 0.043, 0.063,0.001,0.001,
356, 0.042, 0.067,0.001,0,
357, 0.039, 0.06,0.001,0.001,
358, 0.042, 0.061,0.001,0,
359, 0.046, 0.064,0.001,0,
360, 0.052, 0.081,0,0.001,
361, 0.046, 0.064,0,0.001,
362, 0.06, 0.073,0.001,0.001,
363, 0.047, 0.066,0,0.001,
364, 0.055, 0.078,0.002,0,
365, 0.041, 0.065,0.001,0,
366, 0.046, 0.066,0.001,0,
367, 0.051, 0.066,0.001,0,
368, 0.044, 0.063,0.001,0,
369, 0.042, 0.085,0.002,0,
370, 0.045, 0.069,0.001,0,
371, 0.058, 0.065,0.001,0,
372, 0.061, 0.074,0.001,0,
373, 0.038, 0.066,0,0.001,
374, 0.047, 0.064,0,0.001,
375, 0.054, 0.064,0,0.001,
376, 0.055, 0.066,0,0.001,
377, 0.063, 0.074,0.001,0.001,
378, 0.047, 0.074,0.001,0,
379, 0.054, 0.072,0.001,0,
380, 0.053, 0.067,0.001,0,
381, 0.048, 0.066,0.001,0,
382, 0.062, 0.075,0.001,0,
383, 0.043, 0.065,0.001,0.001,
384, 0.044, 0.066,0.001,0,
385, 0.052, 0.088,0.002,0.001,
386, 0.048, 0.085,0.001,0,
387, 0.039, 0.074,0.001,0,
388, 0.044, 0.068,0.002,0,
389, 0.05, 0.067,0,0.001,
390, 0.046, 0.07,0.001,0.003,
391, 0.049, 0.073,0,0.001,
392, 0.044, 0.07,0,0.001,
393, 0.052, 0.068,0.002,0,
394, 0.049, 0.08,0.001,0,
395, 0.047, 0.087,0,0.001,
396, 0.045, 0.07,0,0.001,
397, 0.057, 0.069,0,0.001,
398, 0.048, 0.067,0.001,0,
399, 0.037, 0.07,0.001,0,
400, 0.046, 0.068,0.001,0,
401, 0.046, 0.072,0,0.001,
402, 0.044, 0.069,0,0.001,
403, 0.065, 0.1,0.001,0,
404, 0.033, 0.07,0.001,0,
405, 0.035, 0.071,0.001,0,
406, 0.034, 0.066,0.001,0,
407, 0.034, 0.07,0.002,0.001,
408, 0.033, 0.069,0.001,0,
409, 0.034, 0.071,0.001,0,
410, 0.033, 0.069,0.001,0,
411, 0.034, 0.069,0,0.001,
412, 0.041, 0.082,0.001,0.001,
413, 0.043, 0.078,0,0,
414, 0.033, 0.072,0,0.001,
415, 0.037, 0.072,0.001,0.001,
416, 0.043, 0.071,0.001,0,
417, 0.046, 0.086,0.001,0,
418, 0.043, 0.074,0.001,0,
419, 0.048, 0.074,0,0.001,
420, 0.049, 0.074,0,0,
421, 0.035, 0.087,0.001,0,
422, 0.061, 0.079,0,0.001,
423, 0.054, 0.074,0,0.001,
424, 0.047, 0.074,0.001,0,
425, 0.046, 0.072,0.001,0,
426, 0.043, 0.082,0,0.001,
427, 0.049, 0.09,0.001,0,
428, 0.054, 0.077,0,0.001,
429, 0.044, 0.087,0.001,0.001,
430, 0.048, 0.073,0.001,0,
431, 0.038, 0.075,0.001,0,
432, 0.041, 0.076,0,0.001,
433, 0.034, 0.079,0,0.001,
434, 0.043, 0.074,0.001,0,
435, 0.046, 0.082,0.001,0,
436, 0.038, 0.08,0.001,0,
437, 0.038, 0.082,0.001,0,
438, 0.044, 0.1,0,0.001,
439, 0.044, 0.084,0.001,0.003,
440, 0.033, 0.077,0,0.002,
441, 0.049, 0.078,0,0.001,
442, 0.062, 0.091,0.001,0.001,
443, 0.041, 0.076,0.001,0,
444, 0.032, 0.09,0,0.001,
445, 0.049, 0.082,0,0.001,
446, 0.045, 0.09,0,0.001,
447, 0.051, 0.079,0,0.001,
448, 0.053, 0.1,0.001,0,
449, 0.041, 0.088,0.001,0.001,
450, 0.041, 0.078,0.001,0,
451, 0.037, 0.084,0.001,0.001,
452, 0.051, 0.096,0.002,0,
453, 0.044, 0.103,0,0.001,
454, 0.044, 0.08,0.001,0,
455, 0.051, 0.078,0.002,0,
456, 0.049, 0.102,0.001,0,
457, 0.053, 0.078,0.001,0,
458, 0.046, 0.08,0.001,0,
459, 0.05, 0.084,0.001,0,
460, 0.041, 0.081,0,0.001,
461, 0.056, 0.105,0.002,0.001,
462, 0.049, 0.097,0,0.001,
463, 0.061, 0.094,0,0.001,
464, 0.057, 0.087,0.001,0.001,
465, 0.05, 0.087,0.001,0,
466, 0.036, 0.087,0,0.001,
467, 0.052, 0.081,0,0.001,
468, 0.067, 0.115,0.001,0.001,
469, 0.034, 0.08,0.001,0.001,
470, 0.036, 0.085,0.001,0,
471, 0.035, 0.083,0.001,0,
472, 0.044, 0.082,0.001,0.001,
473, 0.041, 0.081,0.001,0.001,
474, 0.045, 0.089,0,0.002,
475, 0.045, 0.082,0,0.001,
476, 0.049, 0.111,0.001,0,
477, 0.035, 0.084,0.001,0.001,
478, 0.034, 0.081,0.001,0,
479, 0.034, 0.082,0,0.001,
480, 0.032, 0.087,0,0.001,
481, 0.034, 0.095,0.001,0,
482, 0.038, 0.092,0.003,0,
483, 0.04, 0.083,0,0.003,
484, 0.037, 0.104,0.001,0.001,
485, 0.048, 0.099,0,0.001,
486, 0.036, 0.1,0,0.001,
487, 0.037, 0.096,0.001,0,
488, 0.042, 0.094,0.001,0.001,
489, 0.04, 0.097,0,0.003,
490, 0.039, 0.097,0.001,0,
491, 0.039, 0.096,0.001,0.001,
492, 0.042, 0.105,0,0.001,
493, 0.034, 0.097,0.001,0.001,
494, 0.037, 0.098,0.001,0.001,
495, 0.039, 0.094,0.001,0,
496, 0.038, 0.1,0.001,0.002,
497, 0.04, 0.096,0.001,0.001,
498, 0.042, 0.102,0.001,0,
499, 0.042, 0.1,0.001,0.001,
500, 0.044, 0.091,0,0.001,
501, 0.034, 0.086,0.001,0,
502, 0.036, 0.087,0,0.003,
503, 0.037, 0.096,0,0.001,
504, 0.054, 0.088,0.001,0,
505, 0.04, 0.102,0.001,0,
506, 0.042, 0.094,0.001,0,
507, 0.052, 0.133,0.001,0,
508, 0.046, 0.092,0.001,0,
509, 0.037, 0.111,0.001,0.001,
510, 0.041, 0.115,0.001,0.001,
511, 0.042, 0.11,0.002,0,
512, 0.05, 0.102,0.001,0,
513, 0.052, 0.096,0.001,0,
514, 0.053, 0.116,0,0.001,
515, 0.051, 0.089,0.001,0.001,
516, 0.053, 0.091,0,0.001,
517, 0.048, 0.09,0,0.001,
518, 0.053, 0.092,0.001,0.003,
519, 0.043, 0.09,0,0.001,
520, 0.054, 0.097,0,0.001,
521, 0.056, 0.125,0.001,0,
522, 0.052, 0.09,0.001,0,
523, 0.042, 0.097,0,0.001,
524, 0.046, 0.107,0.001,0,
525, 0.044, 0.091,0.001,0,
526, 0.046, 0.098,0.001,0,
527, 0.049, 0.091,0,0.001,
528, 0.047, 0.121,0.001,0,
529, 0.043, 0.092,0.001,0.001,
530, 0.05, 0.114,0.001,0,
531, 0.053, 0.09,0.001,0.001,
